Date,Open,High,Low,Close,Volume,Adj Close,Code
2015-06-12,69.449997,69.830001,68.79,69.120002,2888400,64.386106,DD
2015-06-11,69.659999,70.22,69.659999,69.759995,2663900,64.982267,DD
2015-06-10,69.199994,70.110001,69.19,69.689997,3069100,64.917063,DD
2015-06-09,69.519995,69.959995,69.179998,69.209996,4301200,64.469936,DD
2015-06-08,69.000002,69.619999,68.849996,69.410005,3568400,64.656246,DD
2015-06-05,69.689997,69.790001,69.03,69.07,4877500,64.339528,DD
2015-06-04,70.709994,70.929999,69.550001,69.689997,5937800,64.917063,DD
2015-06-03,71.699993,71.779994,71.209999,71.269995,5510200,66.38885,DD
2015-06-02,71.510003,71.779994,70.870002,71.269995,13180900,66.38885,DD
2015-06-01,71.379993,71.900002,70.910002,71.639997,4079500,66.733511,DD
2015-05-29,71.239997,71.480005,70.879996,71.009999,5839200,66.14666,DD
2015-05-28,70.5,71.500001,70.5,71.439997,3687900,66.547209,DD
2015-05-27,70.719996,71.180001,70.529998,70.78,4213200,65.932414,DD
2015-05-26,70.709994,70.879996,70.110001,70.749994,4348300,65.904463,DD
2015-05-22,70.910002,71.110003,70.639996,70.790002,2722600,65.941731,DD
2015-05-21,70.62,71.099993,70.430002,70.980001,4080700,66.118716,DD
2015-05-20,71.439997,71.439997,70.5,70.66,4763100,65.820632,DD
2015-05-19,70.18,71.379993,70.139999,71.249999,5837300,66.370223,DD
2015-05-18,70.3,70.42,69.919995,69.989993,5651300,65.196513,DD
2015-05-15,69.819999,70.749994,69.669993,70.249998,10306000,65.43871,DD
2015-05-14,69.999995,70.809998,69.550001,69.669993,16050200,64.898429,DD
2015-05-13,69.870001,70.749994,69.279994,69.329996,35649200,64.581718,DD
2015-05-12,74.839994,75.129996,74.229999,74.849996,6382300,69.267218,DD
2015-05-11,75.050004,75.519994,74.819998,75.400002,6156900,69.776202,DD
2015-05-08,74.249995,75.360002,74.149999,75.279994,6905900,69.665145,DD
2015-05-07,72.499995,73.429998,72.279998,73.330002,3849100,67.860595,DD
2015-05-06,73.339996,73.809994,72.269996,72.719999,3979100,67.29609,DD
2015-05-05,73.620004,74.109999,72.359998,72.789997,3865700,67.360867,DD
2015-05-04,74.300005,74.599993,73.940004,74.029999,2880100,68.508382,DD
2015-05-01,73.970002,74.480001,73.819996,74.040001,3244500,68.517638,DD
2015-04-30,74.080001,74.249995,72.959999,73.199991,3705600,67.740282,DD
2015-04-29,74.389999,74.749999,73.989998,74.179997,4952700,68.647192,DD
2015-04-28,75.360002,75.800003,74.699997,74.819998,6501300,69.239458,DD
2015-04-27,71.820002,75.529996,71.699993,74.809996,13283700,69.230202,DD
2015-04-24,71.309995,71.540001,70.830002,71.519997,3960600,66.185592,DD
2015-04-23,71.480005,71.569999,70.760004,70.790002,4964900,65.510044,DD
2015-04-22,70.649998,71.559997,69.730005,71.439997,6013900,66.111559,DD
2015-04-21,72.300002,72.829997,70.42,70.689998,8152200,65.417499,DD
2015-04-20,71.959998,72.879999,71.940002,72.839991,6606000,67.407132,DD
2015-04-17,71.599997,71.949996,71.230003,71.550003,4221300,66.21336,DD
2015-04-16,71.89,72.679999,71.599997,72.25,3460900,66.861147,DD
2015-04-15,72.279998,72.749997,72.01,72.099994,3560100,66.722329,DD
2015-04-14,71.999998,72.439998,71.629995,72.260002,2100000,66.870403,DD
2015-04-13,72.230004,72.580003,71.860002,71.959998,2598800,66.592774,DD
2015-04-10,71.999998,72.25,71.669995,72.230004,2402200,66.842642,DD
2015-04-09,71.830004,72.419994,71.649999,71.93,2339200,66.565014,DD
2015-04-08,71.949996,72.300002,71.190003,71.739994,2909000,66.389179,DD
2015-04-07,71.989996,72.859995,71.599997,71.669995,3838900,66.324402,DD
2015-04-06,70.639996,72.139994,70.62,71.999998,5707600,66.629791,DD
2015-04-02,71.009999,71.649999,70.709994,71.389995,9335500,66.065286,DD
2015-04-01,71.540001,71.609999,70.58,70.980001,5584900,65.685871,DD
2015-03-31,72.21,72.339994,71.359997,71.470003,5004500,66.139327,DD
2015-03-30,72.05,73.199991,72.05,72.580003,4290100,67.166535,DD
2015-03-27,71.749996,72.33,71.550003,71.649999,4369200,66.305898,DD
2015-03-26,71.709996,72.039998,71.260001,71.759998,4849900,66.407691,DD
2015-03-25,73.779996,74.010003,72.019994,72.029996,5342000,66.657552,DD
2015-03-24,74.109999,74.559993,73.589998,73.6,4204500,68.110455,DD
2015-03-23,74.059997,74.959994,73.869998,74.419997,4522500,68.869292,DD
2015-03-20,74.339997,74.919994,74.000001,74.339997,8932300,68.795258,DD
2015-03-19,75.800003,75.910001,74.469999,74.509999,6296400,68.952581,DD
2015-03-18,74.229999,76.249997,73.769994,76.009997,8948500,70.3407,DD
2015-03-17,76.059999,76.46,74.309999,74.680001,17346700,69.109903,DD
2015-03-16,78.789997,79.230005,76.9,77.069994,16757300,71.321636,DD
2015-03-13,80.160001,80.650003,79.469998,80.499997,9376100,74.495807,DD
2015-03-12,79.449994,80.410003,79.199991,80.400001,8252900,74.40327,DD
2015-03-11,78.629997,79.370002,78.419994,79.290001,7944000,73.376061,DD
2015-03-10,77.540001,78.779995,77.540001,78.769993,8182500,72.894838,DD
2015-03-09,78.139994,78.629997,77.940002,78.57,9484800,72.709762,DD
2015-03-06,76.989994,78.17,76.430002,78.139994,7960200,72.311828,DD
2015-03-05,78.269996,78.379994,77.779993,78.319998,3855100,72.478406,DD
2015-03-04,77.980002,78.349996,77.609999,78.119998,3284700,72.293323,DD
2015-03-03,77.89,78.349996,77.669995,78.069996,4234500,72.247051,DD
2015-03-02,77.85,78.559998,77.540001,78.489992,3436500,72.635721,DD
2015-02-27,77.689999,78.079998,77.480005,77.85,3786800,72.043463,DD
2015-02-26,77.769991,78.180002,77.689999,78.029996,2626600,72.210034,DD
2015-02-25,77.940002,78.079998,77.460001,77.900002,3625000,72.089736,DD
2015-02-24,77.389995,78.139994,77.209999,77.900002,3521800,72.089736,DD
2015-02-23,76.449998,77.489999,76.259999,77.460001,3585100,71.682553,DD
2015-02-20,75.999995,76.689998,75.259998,76.669994,4090700,70.95147,DD
2015-02-19,75.839995,76.449998,75.739999,76.080003,2375000,70.405484,DD
2015-02-18,76.049997,76.339992,75.710001,76.309994,2375600,70.61832,DD
2015-02-17,75.760003,76.550002,75.599995,76.430002,2913700,70.729378,DD
2015-02-13,76.089997,76.66,75.999995,76.179999,2405900,70.498022,DD
2015-02-12,75.529996,76.319996,75.459998,76.289997,3418200,70.599816,DD
2015-02-11,75.410004,75.649997,74.749999,75.249996,3199100,69.637384,DD
2015-02-10,75.959995,76.219999,75.299998,75.979999,3683100,69.878002,DD
2015-02-09,75.499998,76.249997,75.219998,75.720003,4440500,69.638886,DD
2015-02-06,75.800003,76.449998,75.499998,76.099999,5010900,69.988364,DD
2015-02-05,74.179997,76.049997,73.829998,75.999995,8058700,69.896392,DD
2015-02-04,73.24,74.160001,73.010001,73.739996,5209400,67.817895,DD
2015-02-03,72.21,73.869998,72.05,73.330002,5129000,67.440827,DD
2015-02-02,71.559997,71.789996,70.510002,71.609999,4504200,65.858959,DD
2015-01-30,72.089992,72.789997,71.140001,71.209999,5720800,65.491083,DD
